"started_day_of_week","member_casual","number_of_rides","average_ride_duration"
"Sun","casual",16639,1677.40561331811
"Sun","member",59949,733.658209478056
"Mon","casual",6309,1094.22887937867
"Mon","member",110256,637.278896386591
"Tue","casual",7395,1217.31318458418
"Tue","member",127741,644.044965985862
"Wed","casual",7448,1321.98630504834
"Wed","member",121707,643.72847905215
"Thu","casual",7213,1226.71357271593
"Thu","member",125017,636.54660566163
"Fri","casual",7846,1253.09202141218
"Fri","member",114901,627.214393260285
"Sat","casual",12239,1556.52602336792
"Sat","member",59167,692.009025301266
